序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 冠亨,1947upload,20260212,230717,否,AM691829A5-260212230717,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05806,卡機未結帳,,10,10,0,,,1946,1947
2.0,希利創新_7-11 冠亨,1947upload,20260212,230638,否,AM690F282E-260212230638,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05752,卡機未結帳,,10,10,0,,,1946,1947
3.0,希利創新_7-11 愿橋,1950upload,20260212,220959,否,AM69223B38-260212220959,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,10,10,0,,,1946,1950
4.0,希利創新_7-11 冠亨,1947upload,20260212,215240,否,AM691829A5-260212215240,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05806,卡機未結帳,,10,10,0,,,1946,1947
5.0,希利創新_7-11 冠亨,1947upload,20260212,215146,否,AM691829A5-260212215146,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05806,卡機未結帳,,10,10,0,,,1946,1947
6.0,希利創新_7-11 冠亨,1947upload,20260212,214141,否,AM692023CF-260212214141,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05769,卡機未結帳,,10,10,0,,,1946,1947
7.0,希利創新_7-11 高鳳儀,1952upload,20260212,214045,否,AM69220CFA-260212214045,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
8.0,希利創新_7-11 高鳳儀,1952upload,20260212,214024,否,AM69220CFA-260212214024,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
9.0,希利創新_7-11 高鳳儀,1952upload,20260212,214117,否,AM6905195C-260212214117,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
10.0,希利創新_7-11 高鳳儀,1952upload,20260212,214003,否,AM69220CFA-260212214003,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
11.0,希利創新_7-11 高鳳儀,1952upload,20260212,213938,否,AM69220CFA-260212213938,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
12.0,希利創新_7-11 冠亨,1947upload,20260212,214006,否,AM69082E5C-260212214006,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
13.0,希利創新_7-11 冠亨,1947upload,20260212,213957,否,AM691829A5-260212213957,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05806,卡機未結帳,,10,10,0,,,1946,1947
14.0,希利創新_7-11 高鳳儀,1952upload,20260212,213922,否,AM69220CFA-260212213922,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
15.0,希利創新_7-11 高鳳儀,1952upload,20260212,213829,否,AM6905195C-260212213829,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
16.0,希利創新_7-11 高鳳儀,1952upload,20260212,213904,否,AM691021B5-260212213904,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01896,卡機未結帳,,10,10,0,,,1946,1952
17.0,希利創新_7-11 高鳳儀,1952upload,20260212,213855,否,AM691021B5-260212213855,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01896,卡機未結帳,,10,10,0,,,1946,1952
18.0,希利創新_7-11 高鳳儀,1952upload,20260212,213738,否,AM69220CFA-260212213738,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
19.0,希利創新_7-11 高鳳儀,1952upload,20260212,213821,否,AM6905195C-260212213821,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
20.0,希利創新_7-11 高鳳儀,1952upload,20260212,213812,否,AM6905195C-260212213812,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
21.0,希利創新_7-11 高鳳儀,1952upload,20260212,213707,否,AM69220CFA-260212213707,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
22.0,希利創新_7-11 高鳳儀,1952upload,20260212,213656,否,AM69220CFA-260212213656,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
23.0,希利創新_7-11 高鳳儀,1952upload,20260212,213633,否,AM69220CFA-260212213633,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
24.0,希利創新_7-11 高鳳儀,1952upload,20260212,213617,否,AM69220CFA-260212213617,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
25.0,希利創新_7-11 冠亨,1947upload,20260212,213502,否,AM690F282E-260212213502,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05752,卡機未結帳,,10,10,0,,,1946,1947
26.0,希利創新_7-11 冠亨,1947upload,20260212,213335,否,AM692023CF-260212213335,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05769,卡機未結帳,,10,10,0,,,1946,1947
27.0,希利創新_7-11 高鳳儀,1952upload,20260212,213218,否,AM69220CFA-260212213218,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
